Fitness ; g1 ; g2 ; g3;g4;g5;g6
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
0.6428290239005693;1234269.6319999998;61.5 ;302933.213;50.333;156015.84299999994 ;19.5
